PC1,PC2,Position,Zone,Name,Photo,Nationality,Club,Club Logo,Preferred Foot,Overall,Potential
18.34253424,-1.981370973,GK,GoalKeper,H. Lloris,https://cdn.sofifa.org/players/4/19/167948.png,France,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Left,88,88
-5.355149171,-4.303963716,LS,Attack,G. Higuaín,https://cdn.sofifa.org/players/4/19/167664.png,Argentina,Milan,https://cdn.sofifa.org/teams/2/light/47.png,Right,88,88
-5.857326625,3.868965219,RCB,Defense,Thiago Silva,https://cdn.sofifa.org/players/4/19/164240.png,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,88,88
19.31582365,-1.151405423,GK,GoalKeper,S. Handanovi?,https://cdn.sofifa.org/players/4/19/162835.png,Slovenia,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,88,88
18.71414677,-1.586398921,GK,GoalKeper,G. Buffon,https://cdn.sofifa.org/players/4/19/1179.png,Italy,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,88,88
-6.249957635,3.351635789,CB,Defense,S. Umtiti,https://cdn.sofifa.org/players/4/19/205600.png,France,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Left,87,92
-4.853479024,-3.896437261,ST,Attack,M. Icardi,https://cdn.sofifa.org/players/4/19/201399.png,Argentina,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,87,90
-0.355062903,7.350414561,LCB,Defense,K. Koulibaly,https://cdn.sofifa.org/players/4/19/201024.png,Senegal,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,87,90
-9.535459212,-0.188573263,RDM,Midfield,P. Pogba,https://cdn.sofifa.org/players/4/19/195864.png,France,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,87,91
18.48546519,-2.240021164,GK,GoalKeper,K. Navas,https://cdn.sofifa.org/players/4/19/193041.png,Costa Rica,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,87,87
-5.570181937,-2.414753834,ST,Attack,R. Lukaku,https://cdn.sofifa.org/players/4/19/192505.png,Belgium,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Left,87,89
-5.639225593,-3.069566762,ST,Attack,C. Immobile,https://cdn.sofifa.org/players/4/19/192387.png,Italy,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,Right,87,87
-8.587354758,0.302918788,LB,Defense,Jordi Alba,https://cdn.sofifa.org/players/4/19/189332.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Left,87,87
-7.450864192,-6.267691018,RF,Attack,D. Mertens,https://cdn.sofifa.org/players/4/19/175943.png,Belgium,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,87,87
-6.061554801,3.911884369,LCB,Defense,J. Vertonghen,https://cdn.sofifa.org/players/4/19/172871.png,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Left,87,87
-8.702754911,-0.676838881,LCM,Midfield,M. Hamšík,https://cdn.sofifa.org/players/4/19/171877.png,Slovakia,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,87,87
-8.388007729,-0.570684034,RCM,Midfield,I. Rakiti?,https://cdn.sofifa.org/players/4/19/168651.png,Croatia,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,87,87
-4.438214484,4.721945119,RCB,Defense,Piqué,https://cdn.sofifa.org/players/4/19/152729.png,Spain,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,87,87
-6.940558065,-4.621720512,LW,Midfield,L. Sané,https://cdn.sofifa.org/players/4/19/222492.png,Germany,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,86,92
-7.199703383,-4.399296282,RW,Midfield,Bernardo Silva,https://cdn.sofifa.org/players/4/19/218667.png,Portugal,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,86,91
17.47596016,-2.643672413,GK,GoalKeper,Ederson,https://cdn.sofifa.org/players/4/19/210257.png,Brazil,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,86,90
-7.42307352,-4.306216727,LM,Midfield,S. Mané,https://cdn.sofifa.org/players/4/19/208722.png,Senegal,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,86,87
-4.922964455,4.689768672,LCB,Defense,V. van Dijk,https://cdn.sofifa.org/players/4/19/203376.png,Netherlands,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,86,88
-6.825404167,-4.710550233,RW,Midfield,R. Sterling,https://cdn.sofifa.org/players/4/19/202652.png,England,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,86,89
-8.64509101,-1.94953001,CAM,Midfield,Roberto Firmino,https://cdn.sofifa.org/players/4/19/201942.png,Brazil,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,86,87
-3.648499657,5.018689232,RCB,Defense,R. Varane,https://cdn.sofifa.org/players/4/19/201535.png,France,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,86,91
-8.398674348,-0.042729065,LCM,Midfield,M. Verratti,https://cdn.sofifa.org/players/4/19/199556.png,Italy,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,86,89
-8.02787869,1.888288936,LB,Defense,Alex Sandro,https://cdn.sofifa.org/players/4/19/191043.png,Brazil,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,86,86
-7.730773908,-4.963793923,LM,Midfield,Douglas Costa,https://cdn.sofifa.org/players/4/19/190483.png,Brazil,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,86,86
-7.154578423,-2.545096406,CAM,Midfield,T. Müller,https://cdn.sofifa.org/players/4/19/189596.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,86,86
-8.809472907,-2.093933334,CM,Midfield,Thiago,https://cdn.sofifa.org/players/4/19/189509.png,Spain,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,86,86
-8.023026224,-4.831129797,LM,Midfield,M. Reus,https://cdn.sofifa.org/players/4/19/188350.png,Germany,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,Right,86,86
-6.82206007,3.163560794,RB,Defense,Azpilicueta,https://cdn.sofifa.org/players/4/19/184432.png,Spain,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,86,86
-5.178242535,4.676660257,RCB,Defense,L. Bonucci,https://cdn.sofifa.org/players/4/19/184344.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,86,86
-5.217685494,4.453589749,RCB,Defense,T. Alderweireld,https://cdn.sofifa.org/players/4/19/184087.png,Belgium,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,86,87
-8.416326393,-0.293848893,CDM,Midfield,M. Pjani?,https://cdn.sofifa.org/players/4/19/180206.png,Bosnia Herzegovina,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,86,86
-2.213662224,6.128734934,CB,Defense,M. Benatia,https://cdn.sofifa.org/players/4/19/177509.png,Morocco,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,86,86
-5.480335014,-5.546640431,CAM,Midfield,M. Özil,https://cdn.sofifa.org/players/4/19/176635.png,Germany,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Left,86,86
-7.938760437,1.53996624,CDM,Midfield,Fernandinho,https://cdn.sofifa.org/players/4/19/135507.png,Brazil,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,86,86
-7.78606978,-2.559431057,LF,Attack,Iniesta,https://cdn.sofifa.org/players/4/19/41.png,Spain,Vissel Kobe,https://cdn.sofifa.org/teams/2/light/101146.png,Right,86,86
-2.182358073,5.670635632,LCB,Defense,M. Škriniar,https://cdn.sofifa.org/players/4/19/232363.png,Slovakia,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,92
-8.501740087,1.112527745,CM,Midfield,S. Milinkovi?-Savi?,https://cdn.sofifa.org/players/4/19/223848.png,Serbia,Lazio,https://cdn.sofifa.org/teams/2/light/46.png,Right,85,90
-6.957316885,-4.26856302,RW,Midfield,Marco Asensio,https://cdn.sofifa.org/players/4/19/220834.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Left,85,92
-7.031468877,-4.882711857,CAM,Midfield,N. Fekir,https://cdn.sofifa.org/players/4/19/216594.png,France,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,Left,85,89
18.64420803,-1.920302073,GK,GoalKeper,Alisson,https://cdn.sofifa.org/players/4/19/212831.png,Brazil,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,85,90
-8.197913263,0.547204183,RCM,Midfield,J. Kimmich,https://cdn.sofifa.org/players/4/19/212622.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,85,88
-8.373941205,0.845058804,RCM,Midfield,Saúl,https://cdn.sofifa.org/players/4/19/208421.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,85,90
-6.898622023,-5.874963685,RW,Midfield,R. Mahrez,https://cdn.sofifa.org/players/4/19/204485.png,Algeria,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,85,85
-8.737479635,0.646496375,LB,Defense,D. Alaba,https://cdn.sofifa.org/players/4/19/197445.png,Austria,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Left,85,87
-8.330253934,-0.59723726,LM,Midfield,Koke,https://cdn.sofifa.org/players/4/19/193747.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,85,86
-6.8909028,-4.242901023,ST,Attack,A. Lacazette,https://cdn.sofifa.org/players/4/19/193301.png,France,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,85,86
0.155512616,7.23705721,LCB,Defense,K. Manolas,https://cdn.sofifa.org/players/4/19/192774.png,Greece,Roma,https://cdn.sofifa.org/teams/2/light/52.png,Right,85,87
-3.481425426,4.660621263,CB,Defense,N. Otamendi,https://cdn.sofifa.org/players/4/19/192366.png,Argentina,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,85,85
-7.413630356,-0.410922728,RCM,Midfield,Parejo,https://cdn.sofifa.org/players/4/19/189513.png,Spain,Valencia CF,https://cdn.sofifa.org/teams/2/light/461.png,Right,85,85
-8.534341819,1.219131482,LDM,Midfield,Paulinho,https://cdn.sofifa.org/players/4/19/187961.png,Brazil,Guangzhou Evergrande Taobao FC,https://cdn.sofifa.org/teams/2/light/111839.png,Right,85,85
18.98157336,-1.519594378,GK,GoalKeper,W. Szcz?sny,https://cdn.sofifa.org/players/4/19/186153.png,Poland,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,85,87
-7.622799715,-3.786167126,RW,Midfield,A. Sánchez,https://cdn.sofifa.org/players/4/19/184941.png,Chile,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,85,85
-6.570746948,-5.136925289,LM,Midfield,Y. Brahimi,https://cdn.sofifa.org/players/4/19/184267.png,Algeria,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,Right,85,85
-4.420464754,4.880291016,RCB,Defense,J. Boateng,https://cdn.sofifa.org/players/4/19/183907.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,85,85
-8.880016214,1.841132846,CAM,Midfield,A. Vidal,https://cdn.sofifa.org/players/4/19/181872.png,Chile,FC Barcelona,https://cdn.sofifa.org/teams/2/light/241.png,Right,85,85
-8.498785847,-1.57750093,LM,Midfield,I. Periši?,https://cdn.sofifa.org/players/4/19/181458.png,Croatia,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,85
-4.767017927,-1.893053086,ST,Attack,E. Džeko,https://cdn.sofifa.org/players/4/19/180930.png,Bosnia Herzegovina,Roma,https://cdn.sofifa.org/teams/2/light/52.png,Right,85,85
-7.536508065,2.60605613,RCM,Midfield,S. Khedira,https://cdn.sofifa.org/players/4/19/179846.png,Germany,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,85,85
-5.092525787,-1.206836651,LS,Attack,Diego Costa,https://cdn.sofifa.org/players/4/19/179844.png,Spain,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,85,85
-9.076008838,1.296340853,CAM,Midfield,R. Nainggolan,https://cdn.sofifa.org/players/4/19/178518.png,Belgium,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,85
-4.122873162,4.182585702,CB,Defense,Naldo,https://cdn.sofifa.org/players/4/19/171919.png,Brazil,FC Schalke 04,https://cdn.sofifa.org/teams/2/light/34.png,Right,85,85
-7.787755666,2.323222654,LM,Midfield,B. Matuidi,https://cdn.sofifa.org/players/4/19/170890.png,France,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Left,85,85
-3.322042554,4.891480807,CB,Defense,Miranda,https://cdn.sofifa.org/players/4/19/168609.png,Brazil,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,85,85
-5.969273412,-4.420989162,ST,Attack,K. Benzema,https://cdn.sofifa.org/players/4/19/165153.png,France,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,85,85
-7.500876313,2.175396794,LB,Defense,Filipe Luís,https://cdn.sofifa.org/players/4/19/164169.png,Brazil,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Left,85,85
-3.539226486,5.075668549,CB,Defense,V. Kompany,https://cdn.sofifa.org/players/4/19/139720.png,Belgium,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,85,85
-2.419189507,5.262446094,RCB,Defense,Pepe,https://cdn.sofifa.org/players/4/19/120533.png,Portugal,Be?ikta? JK,https://cdn.sofifa.org/teams/2/light/327.png,Right,85,85
-5.553496239,-3.214825386,RS,Attack,Z. Ibrahimovi?,https://cdn.sofifa.org/players/4/19/41236.png,Sweden,LA Galaxy,https://cdn.sofifa.org/teams/2/light/697.png,Right,85,85
-2.726579969,5.392433231,RCB,Defense,D. Sánchez,https://cdn.sofifa.org/players/4/19/220793.png,Colombia,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,84,88
-0.824824053,6.245127908,RCB,Defense,J. Giménez,https://cdn.sofifa.org/players/4/19/216460.png,Uruguay,Atlético Madrid,https://cdn.sofifa.org/teams/2/light/240.png,Right,84,88
-8.614213851,0.97373653,LB,Defense,Alex Telles,https://cdn.sofifa.org/players/4/19/212462.png,Brazil,FC Porto,https://cdn.sofifa.org/teams/2/light/236.png,Left,84,87
-3.796186095,4.905654117,LCB,Defense,A. Laporte,https://cdn.sofifa.org/players/4/19/212218.png,France,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Left,84,88
-8.464117606,-1.936172657,LCM,Midfield,Bruno Fernandes,https://cdn.sofifa.org/players/4/19/212198.png,Portugal,Sporting CP,https://cdn.sofifa.org/teams/2/light/237.png,Right,84,88
-0.071892158,7.00001881,CB,Defense,N. Süle,https://cdn.sofifa.org/players/4/19/212190.png,Germany,FC Bayern München,https://cdn.sofifa.org/teams/2/light/21.png,Right,84,90
-6.508911583,-3.881841497,LW,Midfield,A. Martial,https://cdn.sofifa.org/players/4/19/211300.png,France,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Right,84,90
-8.646479042,-0.129561647,LCM,Midfield,D. Alli,https://cdn.sofifa.org/players/4/19/211117.png,England,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,84,90
-7.627279666,2.715345594,CDM,Midfield,Fabinho,https://cdn.sofifa.org/players/4/19/209499.png,Brazil,Liverpool,https://cdn.sofifa.org/teams/2/light/9.png,Right,84,88
-3.81592637,4.943802235,LDM,Midfield,Marquinhos,https://cdn.sofifa.org/players/4/19/207865.png,Brazil,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Right,84,89
-5.725309114,3.486306525,CDM,Midfield,William Carvalho,https://cdn.sofifa.org/players/4/19/207566.png,Portugal,Real Betis,https://cdn.sofifa.org/teams/2/light/449.png,Right,84,86
-7.516822201,-0.00300432,CM,Midfield,Jorginho,https://cdn.sofifa.org/players/4/19/205498.png,Italy,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,84,87
-7.147508385,-4.152881353,RM,Midfield,F. Thauvin,https://cdn.sofifa.org/players/4/19/204970.png,France,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Left,84,87
-5.866590978,2.824574317,RB,Defense,Carvajal,https://cdn.sofifa.org/players/4/19/204963.png,Spain,Real Madrid,https://cdn.sofifa.org/teams/2/light/243.png,Right,84,87
-6.836044325,-4.843045073,ST,Attack,M. Depay,https://cdn.sofifa.org/players/4/19/202556.png,Netherlands,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,Right,84,89
-7.259631349,-4.70286926,LM,Midfield,H. Son,https://cdn.sofifa.org/players/4/19/200104.png,Korea Republic,Tottenham Hotspur,https://cdn.sofifa.org/teams/2/light/18.png,Right,84,85
18.43173785,-2.136816521,GK,GoalKeper,A. Lopes,https://cdn.sofifa.org/players/4/19/199482.png,Portugal,Olympique Lyonnais,https://cdn.sofifa.org/teams/2/light/66.png,Left,84,86
-2.610773689,5.18582534,CB,Defense,S. de Vrij,https://cdn.sofifa.org/players/4/19/198176.png,Netherlands,Inter,https://cdn.sofifa.org/teams/2/light/44.png,Right,84,86
18.83479256,-2.455408182,GK,GoalKeper,M. Perin,https://cdn.sofifa.org/players/4/19/198009.png,Italy,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,89
-8.265868695,-1.578000024,RAM,Midfield,J. Cuadrado,https://cdn.sofifa.org/players/4/19/193082.png,Colombia,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,84
-6.335544516,-5.037864608,ST,Attack,Iago Aspas,https://cdn.sofifa.org/players/4/19/192629.png,Spain,RC Celta,https://cdn.sofifa.org/teams/2/light/450.png,Left,84,84
18.7081551,-1.573571231,GK,GoalKeper,B. Leno,https://cdn.sofifa.org/players/4/19/192563.png,Germany,Arsenal,https://cdn.sofifa.org/teams/2/light/1.png,Right,84,87
-6.61466888,3.096298407,CDM,Midfield,N. Mati?,https://cdn.sofifa.org/players/4/19/191202.png,Serbia,Manchester United,https://cdn.sofifa.org/teams/2/light/11.png,Left,84,84
20.01761132,-1.631731664,GK,GoalKeper,L. Hrádecký,https://cdn.sofifa.org/players/4/19/190941.png,Finland,Bayer 04 Leverkusen,https://cdn.sofifa.org/teams/2/light/32.png,Right,84,84
-7.208257355,0.887708397,RDM,Midfield,Illarramendi,https://cdn.sofifa.org/players/4/19/190584.png,Spain,Real Sociedad,https://cdn.sofifa.org/teams/2/light/457.png,Right,84,84
-7.030955887,2.01255115,RB,Defense,K. Walker,https://cdn.sofifa.org/players/4/19/188377.png,England,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,84,84
-7.95765806,-0.811413544,CM,Midfield,I. Gündo?an,https://cdn.sofifa.org/players/4/19/186942.png,Germany,Manchester City,https://cdn.sofifa.org/teams/2/light/10.png,Right,84,84
-6.450875107,-3.832289053,RM,Midfield,José Callejón,https://cdn.sofifa.org/players/4/19/185020.png,Spain,Napoli,https://cdn.sofifa.org/teams/2/light/48.png,Right,84,84
-7.415197128,-3.598707571,RM,Midfield,A. Di María,https://cdn.sofifa.org/players/4/19/183898.png,Argentina,Paris Saint-Germain,https://cdn.sofifa.org/teams/2/light/73.png,Left,84,84
-6.581932486,0.89251874,ST,Attack,M. Mandžuki?,https://cdn.sofifa.org/players/4/19/181783.png,Croatia,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,Right,84,84
-6.939283995,-3.9161337,RW,Midfield,Willian,https://cdn.sofifa.org/players/4/19/180403.png,Brazil,Chelsea,https://cdn.sofifa.org/teams/2/light/5.png,Right,84,84
18.57369781,-2.034925657,GK,GoalKeper,Sergio Asenjo,https://cdn.sofifa.org/players/4/19/178750.png,Spain,Villarreal CF,https://cdn.sofifa.org/teams/2/light/483.png,Right,84,85
-7.880072093,-0.910222006,CDM,Midfield,E. Banega,https://cdn.sofifa.org/players/4/19/178562.png,Argentina,Sevilla FC,https://cdn.sofifa.org/teams/2/light/481.png,Right,84,84
-8.551616949,1.635389877,LCM,Midfield,A. Witsel,https://cdn.sofifa.org/players/4/19/177413.png,Belgium,Borussia Dortmund,https://cdn.sofifa.org/teams/2/light/22.png,Right,84,84
-6.643861458,-4.519682848,CAM,Midfield,D. Payet,https://cdn.sofifa.org/players/4/19/177388.png,France,Olympique de Marseille,https://cdn.sofifa.org/teams/2/light/219.png,Right,84,84
